timestamp,load_kw
2024-01-01T00:00:00,45.2
2024-01-01T00:15:00,42.8
2024-01-01T00:30:00,41.5
2024-01-01T00:45:00,40.1
2024-01-01T01:00:00,38.7
2024-01-01T01:15:00,37.2
2024-01-01T01:30:00,36.8
2024-01-01T01:45:00,35.9
2024-01-01T02:00:00,34.5
2024-01-01T02:15:00,33.2
2024-01-01T02:30:00,32.8
2024-01-01T02:45:00,31.5
2024-01-01T03:00:00,30.1
2024-01-01T03:15:00,29.8
2024-01-01T03:30:00,28.5
2024-01-01T03:45:00,27.2
2024-01-01T04:00:00,26.8
2024-01-01T04:15:00,25.5
2024-01-01T04:30:00,24.2
2024-01-01T04:45:00,23.8
2024-01-01T05:00:00,22.5
2024-01-01T05:15:00,21.2
2024-01-01T05:30:00,20.8
2024-01-01T05:45:00,19.5
2024-01-01T06:00:00,18.2
2024-01-01T06:15:00,17.8
2024-01-01T06:30:00,16.5
2024-01-01T06:45:00,15.2
2024-01-01T07:00:00,14.8
2024-01-01T07:15:00,13.5
2024-01-01T07:30:00,12.2
2024-01-01T07:45:00,11.8
2024-01-01T08:00:00,10.5
2024-01-01T08:15:00,9.2
2024-01-01T08:30:00,8.8
2024-01-01T08:45:00,7.5
2024-01-01T09:00:00,6.2
2024-01-01T09:15:00,5.8
2024-01-01T09:30:00,4.5
2024-01-01T09:45:00,3.2
2024-01-01T10:00:00,2.8
2024-01-01T10:15:00,1.5
2024-01-01T10:30:00,0.8
2024-01-01T10:45:00,0.5
2024-01-01T11:00:00,0.2
2024-01-01T11:15:00,0.1
2024-01-01T11:30:00,0.0
2024-01-01T11:45:00,0.0
2024-01-01T12:00:00,0.0
2024-01-01T12:15:00,0.0
2024-01-01T12:30:00,0.0
2024-01-01T12:45:00,0.0
2024-01-01T13:00:00,0.0
2024-01-01T13:15:00,0.0
2024-01-01T13:30:00,0.0
2024-01-01T13:45:00,0.0
2024-01-01T14:00:00,0.0
2024-01-01T14:15:00,0.0
2024-01-01T14:30:00,0.0
2024-01-01T14:45:00,0.0
2024-01-01T15:00:00,0.0
2024-01-01T15:15:00,0.0
2024-01-01T15:30:00,0.0
2024-01-01T15:45:00,0.0
2024-01-01T16:00:00,0.0
2024-01-01T16:15:00,0.0
2024-01-01T16:30:00,0.0
2024-01-01T16:45:00,0.0
2024-01-01T17:00:00,0.0
2024-01-01T17:15:00,0.0
2024-01-01T17:30:00,0.0
2024-01-01T17:45:00,0.0
2024-01-01T18:00:00,0.0
2024-01-01T18:15:00,0.0
2024-01-01T18:30:00,0.0
2024-01-01T18:45:00,0.0
2024-01-01T19:00:00,0.0
2024-01-01T19:15:00,0.0
2024-01-01T19:30:00,0.0
2024-01-01T19:45:00,0.0
2024-01-01T20:00:00,0.0
2024-01-01T20:15:00,0.0
2024-01-01T20:30:00,0.0
2024-01-01T20:45:00,0.0
2024-01-01T21:00:00,0.0
2024-01-01T21:15:00,0.0
2024-01-01T21:30:00,0.0
2024-01-01T21:45:00,0.0
2024-01-01T22:00:00,0.0
2024-01-01T22:15:00,0.0
2024-01-01T22:30:00,0.0
2024-01-01T22:45:00,0.0
2024-01-01T23:00:00,0.0
2024-01-01T23:15:00,0.0
2024-01-01T23:30:00,0.0
2024-01-01T23:45:00,0.0 